0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/select2/dist/css/select2.min.css.xhtml?ln=components HTTP/1.1" 200 14930
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/animate.css/animate.min.css.xhtml?ln=components HTTP/1.1" 200 53659
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/iCheck/skins/flat/_all.css.xhtml?ln=components HTTP/1.1" 200 13063
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/DataTables/media/css/jquery.dataTables.min.css.xhtml?ln=components HTTP/1.1" 200 15375
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/themes.css.xhtml?ln=css HTTP/1.1" 200 22247
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/dataTablesBootstrap/dataTables.bootstrap.css.xhtml?ln=components HTTP/1.1" 200 9221
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/style.css.xhtml?ln=css HTTP/1.1" 200 33092
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/bootstrap/bootstrap.min.js.xhtml?ln=components HTTP/1.1" 200 27922
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/chartjs/Chart.min.js.xhtml?ln=components HTTP/1.1" 200 52161
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/bootstrap-switch/bootstrap-switch.min.js.xhtml?ln=components HTTP/1.1" 200 14945
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/iCheck/icheck.min.js.xhtml?ln=components HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 70754
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/matchHeight/jquery.matchHeight-min.js.xhtml?ln=components HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/DataTables/media/js/jquery.dataTables.min.js.xhtml?ln=components HTTP/1.1" 200 79740
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/ace/ace.js.xhtml?ln=components HTTP/1.1" 200 340910
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/app.js.xhtml?ln=js HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/ace/theme-github.js.xhtml?ln=components HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/dataTablesBootstrap/dataTables.bootstrap.js.xhtml?ln=components HTTP/1.1" 200 4473
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/select2/dist/js/select2.full.min.js.xhtml?ln=components HTTP/1.1" 200 71251
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/ace/mode-html.js.xhtml?ln=components HTTP/1.1" 200 54554
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/jquery/jquery.min.js.xhtml?ln=components HTTP/1.1" 200 93723
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/DataTables/media/images/sort_both.png HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/DataTables/media/images/sort_asc.png HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:06 -0300] "GET /ssa/javax.faces.resource/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/admin/novaDisciplina.xhtml HTTP/1.1" 200 11924
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 25001
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/bootstrap/bootstrap.min.css.xhtml?ln=components HTTP/1.1" 200 99662
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/animate.css/animate.min.css.xhtml?ln=components HTTP/1.1" 200 53659
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/iCheck/skins/flat/_all.css.xhtml?ln=components HTTP/1.1" 200 13063
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/DataTables/media/css/jquery.dataTables.min.css.xhtml?ln=components HTTP/1.1" 200 15375
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/select2/dist/css/select2.min.css.xhtml?ln=components HTTP/1.1" 200 14930
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/dataTablesBootstrap/dataTables.bootstrap.css.xhtml?ln=components HTTP/1.1" 200 9221
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/themes.css.xhtml?ln=css HTTP/1.1" 200 22247
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/jquery/jquery.min.js.xhtml?ln=components HTTP/1.1" 200 93723
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/bootstrap-switch/bootstrap-switch.min.js.xhtml?ln=components HTTP/1.1" 200 14945
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/style.css.xhtml?ln=css HTTP/1.1" 200 33092
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/iCheck/icheck.min.js.xhtml?ln=components HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/DataTables/media/js/jquery.dataTables.min.js.xhtml?ln=components HTTP/1.1" 200 79740
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/select2/dist/js/select2.full.min.js.xhtml?ln=components HTTP/1.1" 200 71251
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/matchHeight/jquery.matchHeight-min.js.xhtml?ln=components HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:24 -0300] "GET /ssa/javax.faces.resource/ace/ace.js.xhtml?ln=components HTTP/1.1" 200 340910
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:25 -0300] "GET /ssa/javax.faces.resource/dataTablesBootstrap/dataTables.bootstrap.js.xhtml?ln=components HTTP/1.1" 200 4473
